"","Gene.name","alpha_pyr","beta_pyr","lambda1_pyr","lambda2_pyr","MCpval_pyr","on_state_freq_pyr","on_state_pyr","total_cells_pyr","CellType_pyr","MEAN_pyr","MODE_pyr","MEDIAN_pyr","VAR_pyr","alpha_fs","beta_fs","lambda1_fs","lambda2_fs","MCpval_fs","on_state_freq_fs","on_state_fs","total_cells_fs","CellType_fs","MEAN_fs","MODE_fs","MEDIAN_fs","VAR_fs","MODE_ratio","alpha_ratio","beta_ratio","MEAN_ratio","direction_alpha","direction_beta"
"2509","Vps16",0.0589153561817568,6.97463154480612,13531.5108130425,0.0593273221149916,0.459,33.8983050847458,20,59,"Pyramidal",59.1120627127471,1.85753756262805,0.676249720731274,34448.2232709011,0.0466613980935816,3.82940262627068,327.122074509253,0.574173087074582,0.548,24,6,25,"Fast-spiking",4.33212890468324,0.51500964343917,0.690116872387582,78.7637647234159,0.277253959112694,0.79200740040727,0.549047301161359,0.0732867151961025,"",""
"2510","Vps35",0.0561857861504554,0.534509019272661,1051.43006887385,0.99626985007371,0.27,52.5423728813559,31,59,"Pyramidal",185.892273927546,12.4833880961497,13.6359679011735,92443.1184222483,0.0298235677669571,1.26481190252906,493.913779503491,2.20051172897526,0.409,36,9,25,"Fast-spiking",90.7010904940769,0.581527433324945,1.46167724451797,31943.9148558347,0.0465841027168184,0.530802713823296,2.36630600593076,0.487922862944959,"",""
"2511","Vps37b",0.02247628205061,0.28809512247229,512.311512327898,0.608001450526447,0.741,28.8135593220339,17,59,"Pyramidal",111.228517749222,6.88705859430098,9.41021680596095,37508.189661559,0.0338957119443227,9.53164257818797,298.601494726166,1.04824013679101,0.855,20,5,25,"Fast-spiking",6.67799560903521,0.806439189828419,0.916448135032347,116.17755463515,0.117094864053537,1.50806578543549,33.0850536322591,0.0600385201939987,"",""
"2512","Vps41",0.0561037688068306,0.942659862776547,2981.52021687116,0.98815826337903,0.989,55.9322033898305,33,59,"Pyramidal",336.222715024574,23.7612905220692,43.1804210848902,406179.142647051,0.0455323413250042,0.2070075760951,374.648159546305,0.883272746086923,0.993,36,9,25,"Fast-spiking",158.876922058862,38.7261227907861,102.904033447918,22241.679839371,1.62979880048256,0.811573665964855,0.219599438004469,0.472534766270179,"",""
"2513","Vsnl1",0.124257984277974,2.78872112099088,16169.4280683345,1.14667794829662,0.327,74.5762711864407,44,59,"Pyramidal",1082.21949499877,46.4876500929247,28.8723570036145,5751401.38873898,0.250159663473848,6.26395871781372,8053.50086337873,3.5223378140853,0.904,52,13,25,"Fast-spiking",1314.1665993484,370.906936492023,699.872145402906,4677886.05126588,7.97861229274039,2.01322808290711,2.24617609507975,1.21432537985273,"",""
"2514","Vstm2a",0.033385912900151,0.449560271422083,2386.97680040667,0.901328957164634,0.664,50.8474576271186,30,59,"Pyramidal",344.949812853257,11.1574303213474,15.941438264237,418574.699326157,0.187553459683999,3.00948483833682,3847.56685054915,1.50520328744631,0.651,52,13,25,"Fast-spiking",599.179204999765,93.2423887105258,354.775315635389,1091041.0868328,8.35697701218225,5.61774243660567,6.69428557113597,1.73700400079549,"",""
"2515","Vstm2l",0.0395915257849441,0.966986700298273,308.405193638728,0.056981022702781,0.545,22.0338983050847,13,59,"Pyramidal",2.97582198991125,0.495013494774827,0.710309834533371,36.4763390118438,0.0071517781255151,0.116931757247495,261.61619107112,0.0427116194804372,0.332,20,5,25,"Fast-spiking",3.07058215616836,0.379252655091148,0.496643139127401,31.5309025636492,0.766146093176033,0.180639113641707,0.120923852635643,1.03184335843285,"",""
"2516","Vti1b",0.0306798979236549,1.30715278061295,1236.32190993337,1.17095594912115,0.986,28.8135593220339,17,59,"Pyramidal",155.021256792919,4.61876833975465,3.24665902408893,98734.5834153569,0.0783282123660769,2.44921886883475,160.297793049205,2.45918919491736,0.423,48,12,25,"Fast-spiking",27.2616213747075,1.43013256398121,1.66670597396646,2619.80536225184,0.309635049602246,2.55307930166495,1.87370512855143,0.175857311046861,"",""
"2517","Wasf1",0.0502250671283559,0.695344357085419,1926.98169112787,0.928047260028213,0.891,59.3220338983051,35,59,"Pyramidal",237.381957764399,17.016514589863,31.507312948423,186165.751501369,0.0146622507169935,0.387649906005518,155.793032959792,0.790397030454966,0.905,24,6,25,"Fast-spiking",24.6103577319664,0.67111849961925,1.05014579979822,3311.33468821125,0.0394392456854263,0.291930933203582,0.557493423302344,0.103674086959853,"",""
"2518","Wash",0.0289449665467147,0.606219569511501,366.96080708221,1.9173282471897,0.076,37.2881355932203,22,59,"Pyramidal",103.126835466793,1.81583284858529,1.25486988891048,79984.330359415,0.0124170152929067,1.77778454128988,1118.40785832897,3.52179180807795,0.912,32,8,25,"Fast-spiking",127.101184894291,0.39493522747339,1.14629225666026,99319.486172479,0.217495364609734,0.428987032093013,2.93257530884798,1.2324744022153,"",""
