"","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEDIAN","MEAN","MODE","VAR","bin_on_freq"
"26","X3425401B19Rik",0.060790773,0.551719457,48.16658099,0.05491877,0.831,23.72881356,14,59,"Pyramidal",0.63068288849928,1.14571196262598,0.492287265144747,0.956577982982864,2
"27","X4833420G17Rik",0.061595277,1.039270332,1298.316252,0.98335808,0.962,35.59322034,21,59,"Pyramidal",66.3638434919142,194.461184762324,36.7933320014012,91818.7138180475,5
"28","X4930402H24Rik",0.046583446,0.792038585,4204.110377,0.914452823,0.762,71.18644068,42,59,"Pyramidal",5.30029339670586,332.957609198614,10.379329082024,670728.308359563,10
"29","X4930524L23Rik",0.082293068,3.547510156,137.1696875,0.161169618,0.452,27.11864407,16,59,"Pyramidal",0.692397152851474,1.7273132738648,0.44543974881123,8.85071189518947,3
"30","X4930525G20Rik",0.048463934,1.471437672,631.9871334,0.04937999,0.541,30.50847458,18,59,"Pyramidal",0.579080966514508,3.58152087724549,0.476737673572965,74.6425779541117,4
"31","X4932438A13Rik",0.290726501,3.364596701,879.3489288,1.659505123,0.139,62.71186441,37,59,"Pyramidal",47.9528552811468,173.114901302863,34.4818290972634,50363.4221960231,9
"32","X4933434E20Rik",0.009091246,0.166269109,6289.045567,0.043298483,1,22.03389831,13,59,"Pyramidal",0.814444834156591,99.5918660514805,2.96142809882861,34791.0659401127,1
"33","X5031426D15Rik",0.174488598,2.500694895,6315.399809,1.529550818,0.899,89.83050847,53,59,"Pyramidal",91.7344907844114,656.729338251986,61.8812301759849,1636471.80262877,10
"34","X5031439G07Rik",0.03301568,1.471641341,322.8868682,1.461214303,0.833,32.20338983,19,59,"Pyramidal",1.44219672380948,43.0141662841558,1.78884209199639,7766.68348735995,5
"35","X5430417L22Rik",0.020872842,0.635084394,1134.51016,0.028531505,0.738,23.72881356,14,59,"Pyramidal",0.311665513830931,3.38047077281223,0.297732210391989,86.223931182275,2
"36","X5730455P16Rik",0.133427649,12.58037636,1165.951714,3.234630465,0.081,77.96610169,46,59,"Pyramidal",4.06288546044858,54.6209712930541,2.50896094706793,31363.0372432374,10
"37","X5830417I10Rik",0.070771187,37.42334215,430.9821569,0.931285342,0.699,27.11864407,16,59,"Pyramidal",0.69999070567486,3.27927736532123,0.460540021785337,46.8725805977573,3
"38","X5830418K08Rik",0.059040424,24.43385928,598.8708207,0.816086581,0.914,30.50847458,18,59,"Pyramidal",0.963001098473417,6.68790590629823,0.676458142574234,190.241249360752,4
"39","X6330403K07Rik",0.103779366,2.392035865,7257.609868,1.320034336,0.967,61.01694915,36,59,"Pyramidal",39.5611343629137,658.266379720833,47.5024208684009,1911739.7857862,9
"40","X6330403M23Rik",0.062989419,1.19999473,2700.829023,1.391281727,0.766,47.45762712,28,59,"Pyramidal",44.8468135885467,412.631833343721,35.0121131552213,563096.126003117,7
"41","X6430548M08Rik",0.063257093,1.609632137,4680.099939,1.153459492,0.927,44.06779661,26,59,"Pyramidal",33.3709938256872,477.894511011065,33.1132610986959,1035105.40590418,7
"42","X8430419L09Rik",0.092147338,1.241867431,135.037571,1.40113747,0.999,45.76271186,27,59,"Pyramidal",6.75890040860702,30.8154741999442,3.26045717969791,3959.86560473047,7
"43","X9130023H24Rik",0.116587793,1.189261245,45.80702903,0.038869637,0.91,28.81355932,17,59,"Pyramidal",0.363304082549635,0.559735945606971,0.273749371602326,0.22506023831055,4
"44","X9130024F11Rik",0.040105749,2.042854264,6908.589851,0.168699493,0.464,30.50847458,18,59,"Pyramidal",0.698817391222262,73.39556685173,0.274543631384887,17244.796858188,4
"45","X9330151L19Rik",0.166907027,15.33407819,956.298279,0.384330135,0.088,55.93220339,33,59,"Pyramidal",0.980616667846882,9.33028635381128,0.685392279022462,412.010103770353,8
"46","X9330159F19Rik",0.044798013,0.695680091,1355.063946,0.995249264,0.892,44.06779661,26,59,"Pyramidal",6.09206899827975,217.945886237034,17.7315490200603,137320.300159866,7
"47","X9930013L23Rik",0.028702939,3.496099125,701.2764296,1.694481326,0.428,28.81355932,17,59,"Pyramidal",1.94799541445336,104.009260100731,2.13291442413195,55935.6024982073,4
"48","A030009H04Rik",0.041835245,0.395233661,1770.811094,0.461338164,0.63,42.37288136,25,59,"Pyramidal",2.50216535510645,183.480325129618,9.92978177142481,154656.117304856,6
"49","A230046K03Rik",0.060155494,0.864379467,111.83101,2.535053938,0.881,44.06779661,26,59,"Pyramidal",4.20958507553449,43.8633052298148,2.11823269407359,9528.85916126001,7
"50","A230073K19Rik",0.206446749,16.39591692,1961.235933,3.408442022,0.466,84.74576271,50,59,"Pyramidal",7.82881480681027,108.865635176432,7.30126504136706,79199.4616140403,10
"51","A430035B10Rik",0.123610615,11.00978744,222.0367412,0.142464076,0.685,22.03389831,13,59,"Pyramidal",0.699195813905575,1.6667778459434,0.499916406540598,6.48477322507911,1
"52","A630072M18Rik",0.082455255,1.465402743,35.48468131,0.942335439,0.821,30.50847458,18,59,"Pyramidal",2.06529953001198,5.57961314370822,1.15518091060358,82.4714513184053,4
"53","A730098P11Rik",0.026499687,2.014356825,1181.447861,2.100671391,0.664,44.06779661,26,59,"Pyramidal",1.90951697516203,56.8284980785629,1.48812415351261,50778.7804450219,7
"54","AI314180",0.051413917,0.632568112,713.3879825,0.824435331,0.363,49.15254237,29,59,"Pyramidal",1.56453565014195,89.5971396376089,4.26762900393122,40797.1164159457,8
"55","AI414108",0.182652973,5.021010567,2340.883637,0.43516546,0.281,47.45762712,28,59,"Pyramidal",17.9191930496298,146.37783814715,8.86401238674821,193813.499698311,7
"56","AI467606",0.129514882,1.431377125,46.40474693,0.030221829,0.901,25.42372881,15,59,"Pyramidal",0.254267599585878,0.424924395297504,0.215254992281846,0.128177233436972,3
"57","AU040320",0.031631454,5.823849358,24727.81289,0.148246086,0.984,30.50847458,18,59,"Pyramidal",0.927575304119361,147.105584568612,1.65481894367546,240697.347409105,4
"58","AW549877",0.009933888,0.292764991,2738.083627,0.763020219,0.996,22.03389831,13,59,"Pyramidal",1.3968830580413,347.723169393913,3.870157052167,707146.470730777,1
"59","Aacs",0.047527874,19.83050042,964.7344403,3.373069105,0.38,28.81355932,17,59,"Pyramidal",2.13981256893352,82.4767929005316,2.38969955744521,55645.4495859008,4
"60","Aak1",0.145917034,0.915868099,2363.491894,0.914566363,0.997,86.44067797,51,59,"Pyramidal",28.1560663975967,371.661486553928,28.990125232527,322481.267683789,10
"61","Aamp",0.061706481,1.159820001,3495.731147,1.174496061,0.929,44.06779661,26,59,"Pyramidal",59.3468162209107,450.600456258913,44.2073888265309,637124.006890184,7
"62","Abca5",0.049481176,1.577268858,293.1068075,1.701379327,0.34,37.28813559,22,59,"Pyramidal",2.66736703362525,46.8616465198353,1.95131460100043,9040.37057238993,6
"63","Abcb7",0.048433208,4.51101209,78.16804328,3.091632552,0.963,27.11864407,16,59,"Pyramidal",1.36437915281459,10.3689590697214,0.912934149398447,435.685361405659,3
