"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"75",75,"Acap3",0.0461248735371172,4.51395824212648,405.992720254771,2.69647367962949,0.933,28.8135593220339,17,59,"Pyramidal",39.1460210280564,3.65789864607756,0
"76",76,"Acat2",0.0556749255024592,17.3934679719748,978.718122650411,3.52976539394544,0.28,37.2881355932203,22,59,"Pyramidal",81.8738365545997,4.33154027121378,0
"77",77,"Acbd5",0.0269106849333114,1.60789306986936,331.628027474203,1.76855702273088,0.925,25.4237288135593,15,59,"Pyramidal",52.8687139312018,2.45843281025286,0
"78",78,"Acin1",0.0531825985023585,0.468530605209747,109.135312578036,3.17873336971723,0.868,37.2881355932203,22,59,"Pyramidal",96.6089493836297,11.9755347804338,0
"79",79,"Acly",0.0309075714076173,0.825193394090489,2922.22367079414,1.16633605168321,0.78,47.4576271186441,28,59,"Pyramidal",298.073504573974,22.2637833532834,0
"80",80,"Aco1",0.027679485764575,148.784246974909,6639.19841777256,3.06264046211971,0.093,27.1186440677966,16,59,"Pyramidal",44.2070585098373,0.43959288144851,0
"81",81,"Aco2",0.0294203601048903,0.429774656629796,958.703412576578,0.984248021519615,0.905,50.8474576271186,30,59,"Pyramidal",127.228706580117,6.54798402058488,0.0535060755761959
"82",82,"Acot7",0.0714653960080902,0.739287090233632,1082.02229633641,0.965088902737631,0.992,44.0677966101695,26,59,"Pyramidal",202.48833782467,26.4038534652919,0
"83",83,"Acot8",0.0075246279053998,0.222641592224229,475.535662012939,1.00067302198565,0.999,20.3389830508475,12,59,"Pyramidal",86.6316788474177,1.77466723578688,0
"84",84,"Acsl1",0.0259058477797192,1.74520671532451,15398.8702570993,0.138031290425616,0.788,25.4237288135593,15,59,"Pyramidal",160.376869474986,1.15504629806298,0
"85",85,"Acss2",0.019089137772635,0.205762014899921,719.426590759001,0.878057718226406,0.691,28.8135593220339,17,59,"Pyramidal",178.522706377179,11.6526024896392,0
"86",86,"Acta1",0.0287846793740554,0.343653400529188,28.7943999640805,1.32978212415483,0.988,28.8135593220339,17,59,"Pyramidal",11.8665974397742,2.3142106637744,0
